Day rating;today's comment; previousDayChange; Improvement Idea; Date; Username - table header that is ignored
4;comment67;previousDayChange39;improvementIdea39;13/11/2020;ana.anastasescu@moodproject
2;comment85;previousDayChange40;improvementIdea40;12/11/2020;ana.anastasescu@moodproject
3;comment99;previousDayChange;improvementIdea;11/11/2020;ana.anastasescu@moodproject
4;comment11;previousDayChange41;improvementIdea41;10/11/2020;ana.anastasescu@moodproject
3;comment75;previousDayChange42;improvementIdea42;09/11/2020;ana.anastasescu@moodproject
2;comment24;previousDayChange43;improvementIdea43;08/11/2020;ana.anastasescu@moodproject
5;comment80;previousDayChange;improvementIdea;07/11/2020;ana.anastasescu@moodproject
5;comment59;previousDayChange44;improvementIdea44;06/11/2020;ana.anastasescu@moodproject
1;comment63;previousDayChange45;improvementIdea45;05/11/2020;ana.anastasescu@moodproject
5;comment28;previousDayChange46;improvementIdea46;04/11/2020;ana.anastasescu@moodproject
5;comment6;previousDayChange;improvementIdea;03/11/2020;ana.anastasescu@moodproject
2;comment86;previousDayChange47;improvementIdea47;02/11/2020;ana.anastasescu@moodproject
2;comment56;previousDayChange48;improvementIdea48;02/12/2020;emilia.fazan@moodproject
4;comment35;previousDayChange49;improvementIdea49;01/12/2020;emilia.fazan@moodproject
4;comment28;previousDayChange;improvementIdea;30/11/2020;emilia.fazan@moodproject
1;comment96;previousDayChange50;improvementIdea50;29/11/2020;emilia.fazan@moodproject
5;comment65;previousDayChange51;improvementIdea51;28/11/2020;emilia.fazan@moodproject
3;comment75;previousDayChange52;improvementIdea52;27/11/2020;emilia.fazan@moodproject
4;comment43;previousDayChange;improvementIdea;26/11/2020;emilia.fazan@moodproject
3;comment62;previousDayChange53;improvementIdea53;25/11/2020;emilia.fazan@moodproject
1;comment30;previousDayChange54;improvementIdea54;24/11/2020;emilia.fazan@moodproject
4;comment31;previousDayChange55;improvementIdea55;23/11/2020;emilia.fazan@moodproject
4;comment63;previousDayChange;improvementIdea;22/11/2020;emilia.fazan@moodproject
1;comment25;previousDayChange56;improvementIdea56;21/11/2020;emilia.fazan@moodproject
4;comment27;previousDayChange57;improvementIdea57;20/11/2020;emilia.fazan@moodproject
3;comment14;previousDayChange58;improvementIdea58;19/11/2020;emilia.fazan@moodproject
3;comment46;previousDayChange;improvementIdea;18/11/2020;emilia.fazan@moodproject
2;comment30;previousDayChange59;improvementIdea59;17/11/2020;emilia.fazan@moodproject
1;comment29;previousDayChange60;improvementIdea60;16/11/2020;emilia.fazan@moodproject
4;comment87;previousDayChange61;improvementIdea61;15/11/2020;emilia.fazan@moodproject
1;comment85;previousDayChange;improvementIdea;14/11/2020;emilia.fazan@moodproject
4;comment27;previousDayChange62;improvementIdea62;13/11/2020;emilia.fazan@moodproject
3;comment78;previousDayChange63;improvementIdea63;12/11/2020;emilia.fazan@moodproject
4;comment75;previousDayChange64;improvementIdea64;11/11/2020;emilia.fazan@moodproject
1;comment92;previousDayChange;improvementIdea;10/11/2020;emilia.fazan@moodproject
5;comment49;previousDayChange65;improvementIdea65;09/11/2020;emilia.fazan@moodproject
4;comment58;previousDayChange66;improvementIdea66;08/11/2020;emilia.fazan@moodproject
1;comment66;previousDayChange67;improvementIdea67;07/11/2020;emilia.fazan@moodproject
4;comment9;previousDayChange;improvementIdea;06/11/2020;emilia.fazan@moodproject
2;comment24;previousDayChange68;improvementIdea68;05/11/2020;emilia.fazan@moodproject
4;comment87;previousDayChange69;improvementIdea69;04/11/2020;emilia.fazan@moodproject
3;comment54;previousDayChange70;improvementIdea70;03/11/2020;emilia.fazan@moodproject
4;comment33;previousDayChange;improvementIdea;02/11/2020;emilia.fazan@moodproject
5;comment20;previousDayChange71;improvementIdea71;02/12/2020;ana.anastasescu@moodproject
4;comment84;previousDayChange72;improvementIdea72;01/12/2020;ana.anastasescu@moodproject
2;comment75;previousDayChange73;improvementIdea73;30/11/2020;ana.anastasescu@moodproject
5;comment93;previousDayChange;improvementIdea;29/11/2020;ana.anastasescu@moodproject
4;comment88;previousDayChange74;improvementIdea74;28/11/2020;ana.anastasescu@moodproject
2;comment34;previousDayChange75;improvementIdea75;27/11/2020;ana.anastasescu@moodproject
2;comment9;previousDayChange76;improvementIdea76;26/11/2020;ana.anastasescu@moodproject
1;comment30;previousDayChange;improvementIdea;25/11/2020;ana.anastasescu@moodproject
4;comment6;previousDayChange77;improvementIdea77;24/11/2020;ana.anastasescu@moodproject
2;comment100;previousDayChange78;improvementIdea78;23/11/2020;ana.anastasescu@moodproject
5;comment43;previousDayChange79;improvementIdea79;22/11/2020;ana.anastasescu@moodproject
2;comment89;previousDayChange;improvementIdea;21/11/2020;ana.anastasescu@moodproject
1;comment26;previousDayChange80;improvementIdea80;20/11/2020;ana.anastasescu@moodproject
4;comment2;previousDayChange81;improvementIdea81;19/11/2020;ana.anastasescu@moodproject
1;comment25;previousDayChange82;improvementIdea82;18/11/2020;ana.anastasescu@moodproject
5;comment18;previousDayChange;improvementIdea;17/11/2020;ana.anastasescu@moodproject
2;comment50;previousDayChange83;improvementIdea83;16/11/2020;ana.anastasescu@moodproject
2;comment98;previousDayChange84;improvementIdea84;15/11/2020;ana.anastasescu@moodproject
1;comment27;previousDayChange85;improvementIdea85;14/11/2020;ana.anastasescu@moodproject
1;comment57;previousDayChange;improvementIdea;13/11/2020;ana.anastasescu@moodproject
5;comment44;previousDayChange86;improvementIdea86;12/11/2020;ana.anastasescu@moodproject
2;comment100;previousDayChange87;improvementIdea87;11/11/2020;ana.anastasescu@moodproject
5;comment43;previousDayChange88;improvementIdea88;10/11/2020;ana.anastasescu@moodproject
2;comment21;previousDayChange;improvementIdea;09/11/2020;ana.anastasescu@moodproject
1;comment92;previousDayChange89;improvementIdea89;08/11/2020;ana.anastasescu@moodproject
1;comment59;previousDayChange90;improvementIdea90;07/11/2020;ana.anastasescu@moodproject
5;comment18;previousDayChange91;improvementIdea91;06/11/2020;ana.anastasescu@moodproject
3;comment57;previousDayChange;improvementIdea;05/11/2020;ana.anastasescu@moodproject
4;comment98;previousDayChange92;improvementIdea92;04/11/2020;ana.anastasescu@moodproject
3;comment76;previousDayChange93;improvementIdea93;03/11/2020;ana.anastasescu@moodproject
3;comment95;previousDayChange94;improvementIdea94;02/11/2020;ana.anastasescu@moodproject
1;comment26;previousDayChange;improvementIdea;02/12/2020;radu.mazare@moodproject
1;comment64;previousDayChange95;improvementIdea95;01/12/2020;radu.mazare@moodproject
4;comment59;previousDayChange96;improvementIdea96;30/11/2020;radu.mazare@moodproject
1;comment22;previousDayChange97;improvementIdea97;29/11/2020;radu.mazare@moodproject
3;comment90;previousDayChange;improvementIdea;28/11/2020;radu.mazare@moodproject
3;comment89;previousDayChange98;improvementIdea98;27/11/2020;radu.mazare@moodproject
3;comment13;previousDayChange99;improvementIdea99;26/11/2020;radu.mazare@moodproject
4;comment85;previousDayChange100;improvementIdea100;25/11/2020;radu.mazare@moodproject
5;comment33;previousDayChange;improvementIdea;24/11/2020;radu.mazare@moodproject
5;comment87;previousDayChange101;improvementIdea101;23/11/2020;radu.mazare@moodproject
4;comment27;previousDayChange102;improvementIdea102;22/11/2020;radu.mazare@moodproject
5;comment10;previousDayChange103;improvementIdea103;21/11/2020;radu.mazare@moodproject
1;comment67;previousDayChange;improvementIdea;20/11/2020;radu.mazare@moodproject
1;comment2;previousDayChange104;improvementIdea104;19/11/2020;radu.mazare@moodproject
2;comment99;previousDayChange105;improvementIdea105;18/11/2020;radu.mazare@moodproject
5;comment65;previousDayChange106;improvementIdea106;17/11/2020;radu.mazare@moodproject
3;comment47;previousDayChange;improvementIdea;16/11/2020;radu.mazare@moodproject
5;comment92;previousDayChange107;improvementIdea107;15/11/2020;radu.mazare@moodproject
4;comment20;previousDayChange108;improvementIdea108;14/11/2020;radu.mazare@moodproject
3;comment43;previousDayChange109;improvementIdea109;13/11/2020;radu.mazare@moodproject
4;comment11;previousDayChange;improvementIdea;12/11/2020;radu.mazare@moodproject
2;comment29;previousDayChange110;improvementIdea110;11/11/2020;radu.mazare@moodproject
5;comment21;previousDayChange111;improvementIdea111;10/11/2020;radu.mazare@moodproject
4;comment78;previousDayChange112;improvementIdea112;09/11/2020;radu.mazare@moodproject
5;comment58;previousDayChange;improvementIdea;08/11/2020;radu.mazare@moodproject
2;comment49;previousDayChange113;improvementIdea113;07/11/2020;radu.mazare@moodproject
2;comment39;previousDayChange114;improvementIdea114;06/11/2020;radu.mazare@moodproject
4;comment93;previousDayChange115;improvementIdea115;05/11/2020;radu.mazare@moodproject
2;comment18;previousDayChange;improvementIdea;04/11/2020;radu.mazare@moodproject
1;comment87;previousDayChange116;improvementIdea116;03/11/2020;radu.mazare@moodproject
5;comment37;previousDayChange117;improvementIdea117;02/11/2020;radu.mazare@moodproject
5;comment90;previousDayChange118;improvementIdea118;02/12/2020;valentina.popescu@moodproject
5;comment67;previousDayChange;improvementIdea;01/12/2020;valentina.popescu@moodproject
2;comment89;previousDayChange119;improvementIdea119;30/11/2020;valentina.popescu@moodproject
5;comment78;previousDayChange120;improvementIdea120;29/11/2020;valentina.popescu@moodproject
4;comment76;previousDayChange121;improvementIdea121;28/11/2020;valentina.popescu@moodproject
2;comment92;previousDayChange;improvementIdea;27/11/2020;valentina.popescu@moodproject
5;comment32;previousDayChange122;improvementIdea122;26/11/2020;valentina.popescu@moodproject
4;comment52;previousDayChange123;improvementIdea123;25/11/2020;valentina.popescu@moodproject
2;comment28;previousDayChange124;improvementIdea124;24/11/2020;valentina.popescu@moodproject
2;comment59;previousDayChange;improvementIdea;23/11/2020;valentina.popescu@moodproject
4;comment59;previousDayChange125;improvementIdea125;22/11/2020;valentina.popescu@moodproject
2;comment42;previousDayChange126;improvementIdea126;21/11/2020;valentina.popescu@moodproject
2;comment53;previousDayChange127;improvementIdea127;20/11/2020;valentina.popescu@moodproject
4;comment18;previousDayChange;improvementIdea;19/11/2020;valentina.popescu@moodproject
4;comment19;previousDayChange128;improvementIdea128;18/11/2020;valentina.popescu@moodproject
2;comment78;previousDayChange129;improvementIdea129;17/11/2020;valentina.popescu@moodproject
4;comment10;previousDayChange130;improvementIdea130;16/11/2020;valentina.popescu@moodproject
3;comment48;previousDayChange;improvementIdea;15/11/2020;valentina.popescu@moodproject
1;comment84;previousDayChange131;improvementIdea131;14/11/2020;valentina.popescu@moodproject
4;comment38;previousDayChange132;improvementIdea132;13/11/2020;valentina.popescu@moodproject
1;comment31;previousDayChange133;improvementIdea133;12/11/2020;valentina.popescu@moodproject
1;comment63;previousDayChange;improvementIdea;11/11/2020;valentina.popescu@moodproject
4;comment52;previousDayChange134;improvementIdea134;10/11/2020;valentina.popescu@moodproject
5;comment59;previousDayChange135;improvementIdea135;09/11/2020;valentina.popescu@moodproject
2;comment39;previousDayChange136;improvementIdea136;08/11/2020;valentina.popescu@moodproject
1;comment76;previousDayChange;improvementIdea;07/11/2020;valentina.popescu@moodproject
1;comment8;previousDayChange137;improvementIdea137;06/11/2020;valentina.popescu@moodproject
1;comment46;previousDayChange138;improvementIdea138;05/11/2020;valentina.popescu@moodproject
5;comment47;previousDayChange139;improvementIdea139;04/11/2020;valentina.popescu@moodproject
5;comment14;previousDayChange;improvementIdea;03/11/2020;valentina.popescu@moodproject
4;comment11;previousDayChange140;improvementIdea140;02/11/2020;valentina.popescu@moodproject
5;comment18;previousDayChange141;improvementIdea141;02/12/2020;razvan.ionescu@moodproject
5;comment42;previousDayChange142;improvementIdea142;01/12/2020;razvan.ionescu@moodproject
4;comment94;previousDayChange;improvementIdea;30/11/2020;razvan.ionescu@moodproject
5;comment9;previousDayChange143;improvementIdea143;29/11/2020;razvan.ionescu@moodproject
1;comment58;previousDayChange144;improvementIdea144;28/11/2020;razvan.ionescu@moodproject
4;comment47;previousDayChange145;improvementIdea145;27/11/2020;razvan.ionescu@moodproject
2;comment62;previousDayChange;improvementIdea;26/11/2020;razvan.ionescu@moodproject
5;comment66;previousDayChange146;improvementIdea146;25/11/2020;razvan.ionescu@moodproject
1;comment42;previousDayChange147;improvementIdea147;24/11/2020;razvan.ionescu@moodproject
4;comment81;previousDayChange148;improvementIdea148;23/11/2020;razvan.ionescu@moodproject
1;comment81;previousDayChange;improvementIdea;22/11/2020;razvan.ionescu@moodproject
5;comment58;previousDayChange149;improvementIdea149;21/11/2020;razvan.ionescu@moodproject
1;comment18;previousDayChange150;improvementIdea150;20/11/2020;razvan.ionescu@moodproject
3;comment18;previousDayChange151;improvementIdea151;19/11/2020;razvan.ionescu@moodproject
4;comment26;previousDayChange;improvementIdea;18/11/2020;razvan.ionescu@moodproject
2;comment34;previousDayChange152;improvementIdea152;17/11/2020;razvan.ionescu@moodproject
5;comment99;previousDayChange153;improvementIdea153;16/11/2020;razvan.ionescu@moodproject
5;comment22;previousDayChange154;improvementIdea154;15/11/2020;razvan.ionescu@moodproject
1;comment57;previousDayChange;improvementIdea;14/11/2020;razvan.ionescu@moodproject
1;comment12;previousDayChange155;improvementIdea155;13/11/2020;razvan.ionescu@moodproject
2;comment46;previousDayChange156;improvementIdea156;12/11/2020;razvan.ionescu@moodproject
3;comment70;previousDayChange157;improvementIdea157;11/11/2020;razvan.ionescu@moodproject
5;comment3;previousDayChange;improvementIdea;10/11/2020;razvan.ionescu@moodproject
5;comment68;previousDayChange158;improvementIdea158;09/11/2020;razvan.ionescu@moodproject
4;comment21;previousDayChange159;improvementIdea159;08/11/2020;razvan.ionescu@moodproject
5;comment12;previousDayChange160;improvementIdea160;07/11/2020;razvan.ionescu@moodproject
5;comment45;previousDayChange;improvementIdea;06/11/2020;razvan.ionescu@moodproject
1;comment3;previousDayChange161;improvementIdea161;05/11/2020;razvan.ionescu@moodproject
3;comment65;previousDayChange162;improvementIdea162;04/11/2020;razvan.ionescu@moodproject
3;comment65;previousDayChange163;improvementIdea163;03/11/2020;razvan.ionescu@moodproject
1;comment59;previousDayChange;improvementIdea;02/11/2020;razvan.ionescu@moodproject
4;comment76;previousDayChange164;improvementIdea164;02/12/2020;cristian.dumitrache@moodproject
5;comment43;previousDayChange165;improvementIdea165;01/12/2020;cristian.dumitrache@moodproject
1;comment25;previousDayChange166;improvementIdea166;30/11/2020;cristian.dumitrache@moodproject
1;comment56;previousDayChange;improvementIdea;29/11/2020;cristian.dumitrache@moodproject
5;comment41;previousDayChange167;improvementIdea167;28/11/2020;cristian.dumitrache@moodproject
2;comment76;previousDayChange168;improvementIdea168;27/11/2020;cristian.dumitrache@moodproject
5;comment36;previousDayChange169;improvementIdea169;26/11/2020;cristian.dumitrache@moodproject
1;comment88;previousDayChange;improvementIdea;25/11/2020;cristian.dumitrache@moodproject
4;comment35;previousDayChange170;improvementIdea170;24/11/2020;cristian.dumitrache@moodproject
4;comment25;previousDayChange171;improvementIdea171;23/11/2020;cristian.dumitrache@moodproject
2;comment73;previousDayChange172;improvementIdea172;22/11/2020;cristian.dumitrache@moodproject
5;comment38;previousDayChange;improvementIdea;21/11/2020;cristian.dumitrache@moodproject
4;comment35;previousDayChange173;improvementIdea173;20/11/2020;cristian.dumitrache@moodproject
1;comment19;previousDayChange174;improvementIdea174;19/11/2020;cristian.dumitrache@moodproject
1;comment87;previousDayChange175;improvementIdea175;18/11/2020;cristian.dumitrache@moodproject
4;comment38;previousDayChange;improvementIdea;17/11/2020;cristian.dumitrache@moodproject
4;comment23;previousDayChange176;improvementIdea176;16/11/2020;cristian.dumitrache@moodproject
5;comment93;previousDayChange177;improvementIdea177;15/11/2020;cristian.dumitrache@moodproject
5;comment1;previousDayChange178;improvementIdea178;14/11/2020;cristian.dumitrache@moodproject
2;comment1;previousDayChange;improvementIdea;13/11/2020;cristian.dumitrache@moodproject
3;comment95;previousDayChange179;improvementIdea179;12/11/2020;cristian.dumitrache@moodproject
1;comment11;previousDayChange180;improvementIdea180;11/11/2020;cristian.dumitrache@moodproject
3;comment98;previousDayChange181;improvementIdea181;10/11/2020;cristian.dumitrache@moodproject
3;comment9;previousDayChange;improvementIdea;09/11/2020;cristian.dumitrache@moodproject
2;comment2;previousDayChange182;improvementIdea182;08/11/2020;cristian.dumitrache@moodproject
1;comment42;previousDayChange183;improvementIdea183;07/11/2020;cristian.dumitrache@moodproject
2;comment70;previousDayChange184;improvementIdea184;06/11/2020;cristian.dumitrache@moodproject
4;comment19;previousDayChange;improvementIdea;05/11/2020;cristian.dumitrache@moodproject
4;comment10;previousDayChange185;improvementIdea185;04/11/2020;cristian.dumitrache@moodproject
5;comment53;previousDayChange186;improvementIdea186;03/11/2020;cristian.dumitrache@moodproject
5;comment86;previousDayChange187;improvementIdea187;02/11/2020;cristian.dumitrache@moodproject
4;comment73;previousDayChange;improvementIdea;02/12/2020;cosmina.isar@moodproject
1;comment17;previousDayChange188;improvementIdea188;01/12/2020;cosmina.isar@moodproject
3;comment37;previousDayChange189;improvementIdea189;30/11/2020;cosmina.isar@moodproject
4;comment16;previousDayChange190;improvementIdea190;29/11/2020;cosmina.isar@moodproject
2;comment40;previousDayChange;improvementIdea;28/11/2020;cosmina.isar@moodproject
2;comment18;previousDayChange191;improvementIdea191;27/11/2020;cosmina.isar@moodproject
1;comment80;previousDayChange192;improvementIdea192;26/11/2020;cosmina.isar@moodproject
5;comment80;previousDayChange193;improvementIdea193;25/11/2020;cosmina.isar@moodproject
5;comment61;previousDayChange;improvementIdea;24/11/2020;cosmina.isar@moodproject
4;comment77;previousDayChange194;improvementIdea194;23/11/2020;cosmina.isar@moodproject
4;comment45;previousDayChange195;improvementIdea195;22/11/2020;cosmina.isar@moodproject
5;comment57;previousDayChange196;improvementIdea196;21/11/2020;cosmina.isar@moodproject
1;comment51;previousDayChange;improvementIdea;20/11/2020;cosmina.isar@moodproject
5;comment69;previousDayChange197;improvementIdea197;19/11/2020;cosmina.isar@moodproject
5;comment22;previousDayChange198;improvementIdea198;18/11/2020;cosmina.isar@moodproject
3;comment49;previousDayChange199;improvementIdea199;17/11/2020;cosmina.isar@moodproject
5;comment7;previousDayChange;improvementIdea;16/11/2020;cosmina.isar@moodproject
2;comment14;previousDayChange200;improvementIdea200;15/11/2020;cosmina.isar@moodproject
1;comment15;previousDayChange201;improvementIdea201;14/11/2020;cosmina.isar@moodproject
5;comment88;previousDayChange202;improvementIdea202;13/11/2020;cosmina.isar@moodproject
5;comment13;previousDayChange;improvementIdea;12/11/2020;cosmina.isar@moodproject
2;comment23;previousDayChange203;improvementIdea203;11/11/2020;cosmina.isar@moodproject
5;comment39;previousDayChange204;improvementIdea204;10/11/2020;cosmina.isar@moodproject
2;comment41;previousDayChange205;improvementIdea205;09/11/2020;cosmina.isar@moodproject
5;comment26;previousDayChange;improvementIdea;08/11/2020;cosmina.isar@moodproject
2;comment7;previousDayChange206;improvementIdea206;07/11/2020;cosmina.isar@moodproject
2;comment100;previousDayChange207;improvementIdea207;06/11/2020;cosmina.isar@moodproject
1;comment71;previousDayChange208;improvementIdea208;05/11/2020;cosmina.isar@moodproject
4;comment89;previousDayChange;improvementIdea;04/11/2020;cosmina.isar@moodproject
5;comment35;previousDayChange209;improvementIdea209;03/11/2020;cosmina.isar@moodproject
1;comment44;previousDayChange210;improvementIdea210;02/11/2020;cosmina.isar@moodproject
1;comment14;previousDayChange211;improvementIdea211;02/12/2020;paula.avram@moodproject
4;comment55;previousDayChange;improvementIdea;01/12/2020;paula.avram@moodproject
1;comment42;previousDayChange212;improvementIdea212;30/11/2020;paula.avram@moodproject
5;comment39;previousDayChange213;improvementIdea213;29/11/2020;paula.avram@moodproject
1;comment99;previousDayChange214;improvementIdea214;28/11/2020;paula.avram@moodproject
2;comment47;previousDayChange;improvementIdea;27/11/2020;paula.avram@moodproject
2;comment48;previousDayChange215;improvementIdea215;26/11/2020;paula.avram@moodproject
1;comment78;previousDayChange216;improvementIdea216;25/11/2020;paula.avram@moodproject
3;comment10;previousDayChange217;improvementIdea217;24/11/2020;paula.avram@moodproject
3;comment16;previousDayChange;improvementIdea;23/11/2020;paula.avram@moodproject
1;comment50;previousDayChange218;improvementIdea218;22/11/2020;paula.avram@moodproject
1;comment16;previousDayChange219;improvementIdea219;21/11/2020;paula.avram@moodproject
3;comment98;previousDayChange220;improvementIdea220;20/11/2020;paula.avram@moodproject
1;comment15;previousDayChange;improvementIdea;19/11/2020;paula.avram@moodproject
4;comment39;previousDayChange221;improvementIdea221;18/11/2020;paula.avram@moodproject
5;comment31;previousDayChange222;improvementIdea222;17/11/2020;paula.avram@moodproject
2;comment49;previousDayChange223;improvementIdea223;16/11/2020;paula.avram@moodproject
5;comment84;previousDayChange;improvementIdea;15/11/2020;paula.avram@moodproject
1;comment5;previousDayChange224;improvementIdea224;14/11/2020;paula.avram@moodproject
5;comment78;previousDayChange225;improvementIdea225;13/11/2020;paula.avram@moodproject
4;comment10;previousDayChange226;improvementIdea226;12/11/2020;paula.avram@moodproject
5;comment92;previousDayChange;improvementIdea;11/11/2020;paula.avram@moodproject
3;comment60;previousDayChange227;improvementIdea227;10/11/2020;paula.avram@moodproject
2;comment20;previousDayChange228;improvementIdea228;09/11/2020;paula.avram@moodproject
1;comment73;previousDayChange229;improvementIdea229;08/11/2020;paula.avram@moodproject
5;comment97;previousDayChange;improvementIdea;07/11/2020;paula.avram@moodproject
3;comment85;previousDayChange230;improvementIdea230;06/11/2020;paula.avram@moodproject
1;comment23;previousDayChange231;improvementIdea231;05/11/2020;paula.avram@moodproject
4;comment7;previousDayChange232;improvementIdea232;04/11/2020;paula.avram@moodproject
4;comment71;previousDayChange;improvementIdea;03/11/2020;paula.avram@moodproject
1;comment84;previousDayChange233;improvementIdea233;02/11/2020;paula.avram@moodproject
2;comment24;previousDayChange234;improvementIdea234;02/12/2020;alexandra.preda@moodproject
2;comment43;previousDayChange235;improvementIdea235;01/12/2020;alexandra.preda@moodproject
2;comment95;previousDayChange;improvementIdea;30/11/2020;alexandra.preda@moodproject
5;comment11;previousDayChange236;improvementIdea236;29/11/2020;alexandra.preda@moodproject
4;comment28;previousDayChange237;improvementIdea237;28/11/2020;alexandra.preda@moodproject
3;comment15;previousDayChange238;improvementIdea238;27/11/2020;alexandra.preda@moodproject
3;comment16;previousDayChange;improvementIdea;26/11/2020;alexandra.preda@moodproject
5;comment64;previousDayChange239;improvementIdea239;25/11/2020;alexandra.preda@moodproject
2;comment38;previousDayChange240;improvementIdea240;24/11/2020;alexandra.preda@moodproject
3;comment93;previousDayChange241;improvementIdea241;23/11/2020;alexandra.preda@moodproject
5;comment82;previousDayChange;improvementIdea;22/11/2020;alexandra.preda@moodproject
3;comment10;previousDayChange242;improvementIdea242;21/11/2020;alexandra.preda@moodproject
3;comment40;previousDayChange243;improvementIdea243;20/11/2020;alexandra.preda@moodproject
5;comment30;previousDayChange244;improvementIdea244;19/11/2020;alexandra.preda@moodproject
1;comment44;previousDayChange;improvementIdea;18/11/2020;alexandra.preda@moodproject
2;comment4;previousDayChange245;improvementIdea245;17/11/2020;alexandra.preda@moodproject
2;comment41;previousDayChange246;improvementIdea246;16/11/2020;alexandra.preda@moodproject
2;comment88;previousDayChange247;improvementIdea247;15/11/2020;alexandra.preda@moodproject
5;comment48;previousDayChange;improvementIdea;14/11/2020;alexandra.preda@moodproject
5;comment74;previousDayChange248;improvementIdea248;13/11/2020;alexandra.preda@moodproject
5;comment99;previousDayChange249;improvementIdea249;12/11/2020;alexandra.preda@moodproject
4;comment77;previousDayChange250;improvementIdea250;11/11/2020;alexandra.preda@moodproject
